,date_analysis,country,total_population,region,validity_period,date_from,date_to,phase,affected_number,percentage,month
181,2024-04-01,SDN,47208125,Red Sea,first projection,2024-06-01,2024-09-30,4,136022,0.08,2024-04
182,2024-04-01,SDN,47208125,Red Sea,first projection,2024-06-01,2024-09-30,5,0,0.0,2024-04
183,2024-04-01,SDN,47208125,Red Sea,second projection,2024-10-01,2025-02-28,all,1809643,1.0,2024-04
184,2024-04-01,SDN,47208125,Red Sea,second projection,2024-10-01,2025-02-28,3+,455881,0.25,2024-04
185,2024-04-01,SDN,47208125,Red Sea,second projection,2024-10-01,2025-02-28,1,613716,0.34,2024-04
186,2024-04-01,SDN,47208125,Red Sea,second projection,2024-10-01,2025-02-28,2,740046,0.41,2024-04
187,2024-04-01,SDN,47208125,Red Sea,second projection,2024-10-01,2025-02-28,3,402978,0.22,2024-04
188,2024-04-01,SDN,47208125,Red Sea,second projection,2024-10-01,2025-02-28,4,52903,0.03,2024-04
189,2024-04-01,SDN,47208125,Red Sea,second projection,2024-10-01,2025-02-28,5,0,0.0,2024-04
190,2024-04-01,SDN,47208125,Sennar,current,2024-04-01,2024-05-31,all,2676891,1.0,2024-04
191,2024-04-01,SDN,47208125,Sennar,current,2024-04-01,2024-05-31,3+,1311693,0.49,2024-04
192,2024-04-01,SDN,47208125,Sennar,current,2024-04-01,2024-05-31,1,487197,0.18,2024-04
193,2024-04-01,SDN,47208125,Sennar,current,2024-04-01,2024-05-31,2,878001,0.33,2024-04
194,2024-04-01,SDN,47208125,Sennar,current,2024-04-01,2024-05-31,3,996330,0.37,2024-04
195,2024-04-01,SDN,47208125,Sennar,current,2024-04-01,2024-05-31,4,315364,0.12,2024-04
196,2024-04-01,SDN,47208125,Sennar,current,2024-04-01,2024-05-31,5,0,0.0,2024-04
197,2024-04-01,SDN,47208125,Sennar,first projection,2024-06-01,2024-09-30,all,2676891,1.0,2024-04
198,2024-04-01,SDN,47208125,Sennar,first projection,2024-06-01,2024-09-30,3+,1548028,0.58,2024-04
199,2024-04-01,SDN,47208125,Sennar,first projection,2024-06-01,2024-09-30,1,355861,0.13,2024-04
200,2024-04-01,SDN,47208125,Sennar,first projection,2024-06-01,2024-09-30,2,773002,0.29,2024-04
201,2024-04-01,SDN,47208125,Sennar,first projection,2024-06-01,2024-09-30,3,1121623,0.42,2024-04
202,2024-04-01,SDN,47208125,Sennar,first projection,2024-06-01,2024-09-30,4,426405,0.16,2024-04
203,2024-04-01,SDN,47208125,Sennar,first projection,2024-06-01,2024-09-30,5,0,0.0,2024-04
204,2024-04-01,SDN,47208125,Sennar,second projection,2024-10-01,2025-02-28,all,2676891,1.0,2024-04
205,2024-04-01,SDN,47208125,Sennar,second projection,2024-10-01,2025-02-28,3+,1238255,0.46,2024-04
206,2024-04-01,SDN,47208125,Sennar,second projection,2024-10-01,2025-02-28,1,584427,0.22,2024-04
207,2024-04-01,SDN,47208125,Sennar,second projection,2024-10-01,2025-02-28,2,854209,0.32,2024-04
208,2024-04-01,SDN,47208125,Sennar,second projection,2024-10-01,2025-02-28,3,965482,0.36,2024-04
209,2024-04-01,SDN,47208125,Sennar,second projection,2024-10-01,2025-02-28,4,272773,0.1,2024-04
210,2024-04-01,SDN,47208125,Sennar,second projection,2024-10-01,2025-02-28,5,0,0.0,2024-04
211,2024-04-01,SDN,47208125,South Darfur,current,2024-04-01,2024-05-31,all,3661757,1.0,2024-04
212,2024-04-01,SDN,47208125,South Darfur,current,2024-04-01,2024-05-31,3+,2041268,0.56,2024-04
213,2024-04-01,SDN,47208125,South Darfur,current,2024-04-01,2024-05-31,1,570472,0.16,2024-04
214,2024-04-01,SDN,47208125,South Darfur,current,2024-04-01,2024-05-31,2,1050017,0.29,2024-04
215,2024-04-01,SDN,47208125,South Darfur,current,2024-04-01,2024-05-31,3,1266359,0.35,2024-04
216,2024-04-01,SDN,47208125,South Darfur,current,2024-04-01,2024-05-31,4,708592,0.19,2024-04
217,2024-04-01,SDN,47208125,South Darfur,current,2024-04-01,2024-05-31,5,66317,0.02,2024-04
218,2024-04-01,SDN,47208125,South Darfur,first projection,2024-06-01,2024-09-30,all,3661757,1.0,2024-04
219,2024-04-01,SDN,47208125,South Darfur,first projection,2024-06-01,2024-09-30,3+,2341127,0.64,2024-04
220,2024-04-01,SDN,47208125,South Darfur,first projection,2024-06-01,2024-09-30,1,387384,0.11,2024-04
221,2024-04-01,SDN,47208125,South Darfur,first projection,2024-06-01,2024-09-30,2,933246,0.25,2024-04
222,2024-04-01,SDN,47208125,South Darfur,first projection,2024-06-01,2024-09-30,3,1318080,0.36,2024-04
223,2024-04-01,SDN,47208125,South Darfur,first projection,2024-06-01,2024-09-30,4,876424,0.24,2024-04
224,2024-04-01,SDN,47208125,South Darfur,first projection,2024-06-01,2024-09-30,5,146623,0.04,2024-04
225,2024-04-01,SDN,47208125,South Darfur,second projection,2024-10-01,2025-02-28,all,3661757,1.0,2024-04
226,2024-04-01,SDN,47208125,South Darfur,second projection,2024-10-01,2025-02-28,3+,2055258,0.56,2024-04
227,2024-04-01,SDN,47208125,South Darfur,second projection,2024-10-01,2025-02-28,1,537825,0.15,2024-04
228,2024-04-01,SDN,47208125,South Darfur,second projection,2024-10-01,2025-02-28,2,1068675,0.29,2024-04
229,2024-04-01,SDN,47208125,South Darfur,second projection,2024-10-01,2025-02-28,3,1281615,0.35,2024-04
230,2024-04-01,SDN,47208125,South Darfur,second projection,2024-10-01,2025-02-28,4,741240,0.2,2024-04
231,2024-04-01,SDN,47208125,South Darfur,second projection,2024-10-01,2025-02-28,5,32403,0.01,2024-04
232,2024-04-01,SDN,47208125,River Nile,current,2024-04-01,2024-05-31,all,2368732,1.0,2024-04
233,2024-04-01,SDN,47208125,River Nile,current,2024-04-01,2024-05-31,3+,621542,0.26,2024-04
